China city codes: 
Akesu, XJ   997  
Alashanzuoqi, NM   483  
Aletai, XJ   906  
Ankang, SN   915  
Anqing, AH   556  
Anshan, LN   412  
Anshun, GZ   853  
Anyang, HEN   372  
Atushi, XJ   908  
Baicheng, JL   436  
Baise, GX   776  
Baishan, JL   439  
Baiyin, GS   943  
Baoding, HEB   312  
Baoji, SN   917  
Baoshan, YN   875  
Baotou, NM   472  
Bazhong, SC   827  
Beihai, GX   779  
Beijing, BJ   10  
Bengbu, AH   552  
Benxi, LN   414  
Bijie, GZ   857  
Binzhou, SD   543  
Bole, XJ   909   
Cangzhou, HEB   317  
Changchun, JL   431  
Changde, HN   736  
Changdu, XZ   895  
Changji, XJ   994 
Changsha, HN   731  
Changzhi, SX   355  
Changzhou, JS   519  
Chaohu, AH   565  
Chaoyang, GD   754  
Chaoyang, LN   421  
Chaozhou, GD   768  
Chengde, HEB   314  
Chengdu, SC   28  
Chenzhou, HN   735  
Chifeng, NM   476  
Chizhou, AH   566  
Chongqing, CQ   23  
Chuxiong, YN   878  
Chuzhou, AH   550  
Dali, YN   872  
Dalian, LN   411  
Dandong, LN   415  
Daqing, HL   459  
Datong, SX   352  
Dazhou, SC   818  
Delingha, QH   977 
Deyang, SC   838  
Dezhou, SD   534  
Dingxi, GS   932  
Dongguan, GD   769  
Dongsheng, NM   477  
Dongying, SD   546  
Duyun, GZ   854  
Enshi, HB   718  
Ezhou, HB   711   
Fangchenggang, GX   770  
Foshan, GD   757  
Fushun, LN   413  
Fuxin, LN   418  
Fuyang, AH   558  
Fuzhou, FJ   591  
Fuzhou, JX   794  
Ganzhou, JX   797  
GeErmu, QH   979 
GeEr, XZ   897  
Gejiu, YN   873 
Gonghe, QH   974 
GuangAn, SC   826  
Guangyuan, SC   839  
Guangzhou, GD   20  
Guilin, GX   773  
Guiyang, GZ   851  
Guyuan, NX   954 
Haikou, HQ   898  
Hailaer, NM   470  
Haiyan, QH   970 
Hami, XJ   902   
Handan, HEB   310  
Hangzhou, ZJ   571  
Hanzhong, SN   916  
Harbin, HL   451  
Hebi, HEN   392  
Hechi, GX   778  
Hefei, AH   551  
Hegang, HL   468  
Heihe, HL   456   
Hengshui, HEB   318  
Hengyang, HN   734  
